country,value
Afghanistan,337.0
Albania,1072.0
Algeria,6099.0
Andorra,1.0
Angola,5.0
Antigua and Barbuda,74.0
Argentina,1551.0
Armenia,434.0
Australia,2060.0
Austria,4786.0
Azerbaijan,1045.0
Bahrain,179.0
Bangladesh,2183.0
Barbados,53.0
Belarus,1384.0
Belgium,3824.0
Belize,19.0
Benin,153.0
Bhutan,2.0
Bolivia,603.0
Bosnia and Herzegovina,863.0
Botswana,2.0
Brazil,968.0
Brunei Darussalam,1.0
Bulgaria,5370.0
Burkina Faso,31.0
Burundi,87.0
Cambodia,45.0
Cameroon,327.0
Canada,453.0
Central African Republic,22.0
Chad,2.0
Chile,188.0
China,1956.0
Chinese Taipei,85.0
Colombia,3227.0
Comoros,1.0
Congo,182.0
Costa Rica,45.0
Croatia,1312.0
Cuba,1007.0
Cyprus,332.0
Czechia,3761.0
Côte d'Ivoire,170.0
Democratic People's Republic of Korea,32.0
Democratic Republic of the Congo,259.0
Denmark,2209.0
Djibouti,2.0
Dominica,165.0
Dominican Republic,171.0
Ecuador,2680.0
Egypt,7523.0
El Salvador,58.0
Eritrea,3.0
Estonia,1827.0
Ethiopia,117.0
Fiji,73.0
Finland,268.0
France,4181.0
Gabon,49.0
Gambia,6.0
Georgia,592.0
Germany,16529.0
Ghana,394.0
Greece,5773.0
Grenada,615.0
Guatemala,74.0
Guinea,110.0
Guinea-Bissau,1.0
Guyana,37.0
Haiti,173.0
Honduras,161.0
Hungary,7417.0
Iceland,451.0
India,27862.0
Indonesia,420.0
Iran,2606.0
Iraq,2855.0
Ireland,5660.0
Israel,573.0
Italy,13000.0
Jamaica,205.0
Japan,113.0
Jordan,1801.0
Kazakhstan,417.0
Kenya,176.0
Kiribati,1.0
Kuwait,54.0
Kyrgyzstan,117.0
Lao People's Democratic Republic,3.0
Latvia,1040.0
Lebanon,914.0
Liberia,9.0
Libya,1905.0
Liechtenstein,4.0
Lithuania,1604.0
Luxembourg,323.0
Madagascar,596.0
Malawi,38.0
Malaysia,663.0
Maldives,6.0
Mali,137.0
Malta,399.0
Mauritania,3.0
Mauritius,115.0
Mexico,749.0
Monaco,4.0
Mongolia,104.0
Montenegro,49.0
Morocco,1693.0
Mozambique,6.0
Myanmar,812.0
Namibia,2.0
Nepal,453.0
Netherlands,3781.0
New Zealand,2471.0
Nicaragua,41.0
Niger,30.0
Nigeria,5537.0
North Macedonia,651.0
Norway,325.0
Oman,74.0
Others (not elsewhere classified),20288.0
Pakistan,12104.0
Panama,25.0
Papua New Guinea,9.0
Paraguay,126.0
Peru,509.0
Philippines,1135.0
Poland,8602.0
Portugal,792.0
Qatar,8.0
Republic of Korea,136.0
Republic of Moldova,1047.0
Romania,22682.0
Russian Federation,11869.0
Rwanda,35.0
Saint Kitts and Nevis,270.0
Saint Lucia,45.0
Saint Vincent and the Grenadines,27.0
Samoa,2.0
Saudi Arabia,766.0
Senegal,158.0
Serbia,2902.0
Seychelles,2.0
Sierra Leone,33.0
Singapore,91.0
Slovak Republic,5108.0
Slovenia,224.0
Somalia,16.0
South Africa,7539.0
Spain,3564.0
Sri Lanka,3455.0
Sudan,3013.0
Suriname,48.0
Swaziland,1.0
Sweden,1511.0
Switzerland,683.0
Syria,7063.0
Tajikistan,89.0
Thailand,32.0
Togo,212.0
Trinidad and Tobago,48.0
Tunisia,1983.0
Turkey,1760.0
Turkmenistan,29.0
Uganda,140.0
Ukraine,6729.0
United Arab Emirates,277.0
United Kingdom,13650.0
United Republic of Tanzania,70.0
United States of America,2912.0
Uruguay,312.0
Uzbekistan,267.0
Venezuela,5141.0
Viet Nam,300.0
Yemen,389.0
Zambia,82.0
Zimbabwe,479.0
