country,value
Afghanistan,310.0
Albania,935.0
Algeria,5914.0
Andorra,1.0
Angola,5.0
Antigua and Barbuda,69.0
Argentina,1511.0
Armenia,399.0
Australia,2086.0
Austria,4727.0
Azerbaijan,859.0
Bahamas,1.0
Bahrain,145.0
Bangladesh,1964.0
Barbados,32.0
Belarus,1226.0
Belgium,3787.0
Belize,16.0
Benin,147.0
Bhutan,2.0
Bolivia,550.0
Bosnia and Herzegovina,831.0
Botswana,1.0
Brazil,910.0
Brunei Darussalam,3.0
Bulgaria,5027.0
Burkina Faso,31.0
Burundi,82.0
Cambodia,48.0
Cameroon,322.0
Canada,446.0
Central African Republic,22.0
Chad,2.0
Chile,190.0
China,1873.0
Chinese Taipei,85.0
Colombia,3058.0
Comoros,1.0
Congo,189.0
Costa Rica,47.0
Croatia,1248.0
Cuba,891.0
Cyprus,289.0
Czechia,3538.0
Côte d'Ivoire,168.0
Democratic People's Republic of Korea,37.0
Democratic Republic of the Congo,238.0
Denmark,2142.0
Djibouti,1.0
Dominica,162.0
Dominican Republic,146.0
Ecuador,2618.0
Egypt,6748.0
El Salvador,55.0
Eritrea,1.0
Estonia,1785.0
Ethiopia,117.0
Fiji,70.0
Finland,269.0
France,4088.0
Gabon,46.0
Gambia,6.0
Georgia,544.0
Germany,16229.0
Ghana,379.0
Greece,5823.0
Grenada,552.0
Guatemala,70.0
Guinea,101.0
Guinea-Bissau,1.0
Guyana,31.0
Haiti,166.0
Honduras,65.0
Hungary,7195.0
Iceland,453.0
India,27209.0
Indonesia,401.0
Iran,2538.0
Iraq,2794.0
Ireland,5600.0
Israel,546.0
Italy,12289.0
Jamaica,217.0
Japan,106.0
Jordan,1673.0
Kazakhstan,392.0
Kenya,160.0
Kiribati,1.0
Kuwait,55.0
Kyrgyzstan,117.0
Lao People's Democratic Republic,4.0
Latvia,954.0
Lebanon,854.0
Liberia,9.0
Libya,1861.0
Liechtenstein,3.0
Lithuania,1492.0
Luxembourg,310.0
Madagascar,571.0
Malawi,41.0
Malaysia,643.0
Maldives,6.0
Mali,126.0
Malta,390.0
Mauritania,1.0
Mauritius,114.0
Mexico,674.0
Monaco,3.0
Mongolia,100.0
Montenegro,47.0
Morocco,1578.0
Mozambique,6.0
Myanmar,721.0
Namibia,3.0
Nepal,377.0
Netherlands,3686.0
New Zealand,2510.0
Nicaragua,37.0
Niger,28.0
Nigeria,4828.0
North Macedonia,614.0
Norway,313.0
Oman,59.0
Others (not elsewhere classified),19634.0
Pakistan,11488.0
Panama,25.0
Papua New Guinea,8.0
Paraguay,130.0
Peru,486.0
Philippines,1110.0
Poland,8229.0
Portugal,732.0
Qatar,9.0
Republic of Korea,131.0
Republic of Moldova,876.0
Romania,21734.0
Russian Federation,11856.0
Rwanda,28.0
Saint Kitts and Nevis,248.0
Saint Lucia,41.0
Saint Vincent and the Grenadines,21.0
Samoa,2.0
Saudi Arabia,795.0
Senegal,153.0
Serbia,2694.0
Seychelles,2.0
Sierra Leone,33.0
Singapore,88.0
Slovak Republic,4878.0
Slovenia,207.0
Somalia,19.0
South Africa,7630.0
Spain,3458.0
Sri Lanka,3451.0
Sudan,2729.0
Suriname,43.0
Swaziland,2.0
Sweden,1550.0
Switzerland,666.0
Syria,6603.0
Tajikistan,80.0
Thailand,31.0
Togo,208.0
Trinidad and Tobago,44.0
Tunisia,1798.0
Turkey,1590.0
Turkmenistan,28.0
Uganda,139.0
Ukraine,6242.0
United Arab Emirates,230.0
United Kingdom,13461.0
United Republic of Tanzania,60.0
United States of America,2903.0
Uruguay,317.0
Uzbekistan,242.0
Venezuela,3748.0
Viet Nam,289.0
Yemen,383.0
Zambia,78.0
Zimbabwe,469.0
